jira号,分析问题时间,AI分析结果(飞书链接),AI评论总结,rootcause,结果置信度
VCU-508800,2026-06-24 11:01:19,,,,
VCU-415681,2026-01-29 16:25:07,,,,
VCU-233986,2025-10-10 03:41:46,,,,
VCU-477299,2026-04-17 16:12:05,,,,
VCU-234258,2025-09-17 11:06:26,,,,
VCU-243220,2025-11-24 19:08:09,,,,
VCU-416569,2026-01-07 05:26:19,,,,
VCU-226054,2025-10-10 13:51:21,,,,
VCU-478336,2026-04-21 09:45:50,,,,
VCU-447588,2025-10-27 15:56:44,,,,
VCU-506502,2026-06-24 10:23:02,,,,
VCU-230130,2025-08-21 16:43:46,,,,
VCU-504333,2026-06-17 17:04:43,,,,
VCU-218935,2025-07-23 05:40:57,,,,
VCU-511389,2026-06-26 16:54:30,,,,
VCU-228866,2025-08-13 14:09:15,,,,
VCU-415748,2026-01-29 10:42:59,,,,
VCU-208223,2025-06-11 12:03:56,,,,
VCU-246665,2025-12-01 14:40:17,,,,
VCU-519112,2026-07-13 13:57:25,,,,
,,,,,
VCU-458185,2026-03-27 16:39:19,,,,
VCU-403000,2025-12-29 18:19:37,,,,
VCU-466120,2026-04-02 16:28:09,,,,
VCU-488530,2026-05-15 14:03:03,,,,
VCU-405598,2025-11-20 16:59:46,,,,
VCU-504355,2026-06-17 14:42:22,,,,
VCU-218656,2025-07-19 17:28:12,,,,
VCU-504356,2026-06-17 14:57:44,,,,
VCU-216795,2025-07-22 14:50:14,,,,
VCU-413809,2026-12-23 16:33:48,,,,
VCU-504953,2026-06-18 14:40:48,,,,
VCU-408192,2025-11-13 13:12:46,,,,
VCU-528982,2026-08-06 15:28:35,,,,
VCU-448642,2026-03-24 09:03:58,,,,
VCU-238445,2025-08-29 06:43:31,,,,
VCU-444166,2026-03-12 15:42:42,,,,
VCU-437161,2025-10-28 20:09:46,,,,
VCU-236111,2025-09-16 17:03:57,,,,
VCU-437390,2026-12-19 14:19:15,,,,
VCU-416203,2026-02-01 13:25:51,,,,
,,,,,
VCU-445890,2026-03-15 21:16:24,,,,
VCU-237331,2025-09-06 20:26:02,,,,
VCU-409037,2025-10-21 18:01:17,,,,
VCU-542150,2026-09-04 15:26:49,,,,
VCU-413484,2026-01-15 15:50:50,,,,
VCU-488007,2026-05-14 09:57:38,,,,
VCU-539405,2026-08-31 15:30:48,,,,
VCU-406310,2025-12-22 15:41:02,,,,
VCU-239322,2025-10-23 16:06:45,,,,
VCU-404498,2025-09-04 14:07:09,,,,
VCU-522630,2026-07-24 09:30:25,,,,
VCU-217771,2025-07-19 17:28:12,,,,
VCU-504345,2026-06-17 14:44:27,,,,
VCU-213236,2025-06-21 17:58:22,,,,
VCU-498740,2026-06-08 15:38:27,,,,
VCU-441902,2026-12-31 15:12:18,,,,
VCU-506103,2026-06-23 13:33:02,,,,
VCU-229099,2025-08-11 07:18:00,,,,
VCU-236052,2025-09-19 16:23:42,,,,
VCU-418575,2026-01-06 20:48:11,,,,
,,,,,
VCU-417046,2026-09-07 13:14:41,,,,
VCU-242234,2026-09-07 13:14:41,,,,
,,,,,
VCU-534786,2026-08-19 15:06:15,,,,
VCU-235356,2025-11-17 17:17:54,,,,
VCU-445991,2026-03-16 11:33:20,,,,
VCU-431379,2026-05-08 09:55:25,,,,
VCU-209985,2025-07-10 18:45:33,,,,
VCU-217729,2025-07-19 17:28:12,,,,
VCU-213671,2025-06-15 17:24:32,,,,
VCU-521181,2026-07-17 14:36:14,,,,
VCU-483972,2026-05-18 17:06:50,,,,
VCU-240137,2025-10-14 15:38:26,,,,
VCU-229392,2025-08-11 06:14:05,,,,
VCU-534794,2026-08-19 16:26:55,,,,
VCU-415921,2026-01-28 10:19:02,,,,
VCU-511945,2026-06-29 12:01:29,,,,
VCU-225947,2025-08-27 11:22:38,,,,
VCU-244712,2025-11-06 17:53:29,,,,
VCU-421667,2026-01-16 11:32:14,,,,
VCU-437492,2025-07-03 13:35:44,,,,
