jira号,执行结果,报告长度,备注,执行时间,分析执行时间
VCU-534786,成功,0,分析任务已启动，Issue: VCU-534786 正在后台处理中,2026-08-19 15:06:15,2026-09-07 10:49:37
VCU-235356,成功,0,分析任务已启动，Issue: VCU-235356 正在后台处理中,2025-11-17 17:17:54,2026-09-07 10:49:37
VCU-445991,成功,0,分析任务已启动，Issue: VCU-445991 正在后台处理中,2026-03-16 11:33:20,2026-09-07 10:49:37
VCU-431379,成功,0,分析任务已启动，Issue: VCU-431379 正在后台处理中,2026-05-08 09:55:25,2026-09-07 10:49:37
VCU-209985,成功,0,分析任务已启动，Issue: VCU-209985 正在后台处理中,2025-07-10 18:45:33,2026-09-07 10:49:37
VCU-217729,成功,0,分析任务已启动，Issue: VCU-217729 正在后台处理中,2025-07-19 17:28:12,2026-09-07 10:49:37
VCU-213671,成功,0,分析任务已启动，Issue: VCU-213671 正在后台处理中,2025-06-15 17:24:32,2026-09-07 10:49:37
VCU-521181,成功,0,分析任务已启动，Issue: VCU-521181 正在后台处理中,2026-07-17 14:36:14,2026-09-07 10:49:37
VCU-483972,成功,0,分析任务已启动，Issue: VCU-483972 正在后台处理中,2026-05-18 17:06:50,2026-09-07 10:49:37
VCU-240137,成功,0,分析任务已启动，Issue: VCU-240137 正在后台处理中,2025-10-14 15:38:26,2026-09-07 10:49:37
VCU-229392,成功,0,分析任务已启动，Issue: VCU-229392 正在后台处理中,2025-08-11 06:14:05,2026-09-07 10:49:37
VCU-417046,成功,0,分析任务已启动，Issue: VCU-417046 正在后台处理中,2026-01-14 08:24:28,2026-09-07 10:49:37
VCU-534794,成功,0,分析任务已启动，Issue: VCU-534794 正在后台处理中,2026-08-19 16:26:55,2026-09-07 10:49:37
VCU-242234,成功,0,分析任务已启动，Issue: VCU-242234 正在后台处理中,2025-10-20 10:00:46,2026-09-07 10:49:37
VCU-415921,成功,0,分析任务已启动，Issue: VCU-415921 正在后台处理中,2026-01-28 10:19:02,2026-09-07 10:49:37
VCU-511945,成功,0,分析任务已启动，Issue: VCU-511945 正在后台处理中,2026-06-29 12:01:29,2026-09-07 10:49:37
VCU-225947,成功,0,分析任务已启动，Issue: VCU-225947 正在后台处理中,2025-08-27 11:22:38,2026-09-07 10:49:37
VCU-244712,成功,0,分析任务已启动，Issue: VCU-244712 正在后台处理中,2025-11-06 17:53:29,2026-09-07 10:49:37
VCU-421667,成功,0,分析任务已启动，Issue: VCU-421667 正在后台处理中,2026-01-16 11:32:14,2026-09-07 10:49:37
VCU-437492,成功,0,分析任务已启动，Issue: VCU-437492 正在后台处理中,2025-07-03 13:35:44,2026-09-07 10:49:37
