jira号,执行结果,报告长度,备注,执行时间
VCU-493118,成功,0,分析任务已启动，Issue: VCU-493118 正在后台处理中,2026-05-27 10:36:25
VCU-210316,成功,0,分析任务已启动，Issue: VCU-210316 正在后台处理中,2025-06-10 18:26:25
VCU-496376,成功,0,分析任务已启动，Issue: VCU-496376 正在后台处理中,2026-06-02 17:29:06
VCU-222900,成功,0,分析任务已启动，Issue: VCU-222900 正在后台处理中,2025-07-04 14:44:42
VCU-224694,成功,0,分析任务已启动，Issue: VCU-224694 正在后台处理中,2025-07-14 15:22:05
VCU-471258,成功,0,分析任务已启动，Issue: VCU-471258 正在后台处理中,2026-04-16 10:37:52
VCU-240181,成功,0,分析任务已启动，Issue: VCU-240181 正在后台处理中,2025-10-16 14:31:00
VCU-405065,成功,0,分析任务已启动，Issue: VCU-405065 正在后台处理中,2025-10-17 15:17:06
VCU-236799,成功,0,分析任务已启动，Issue: VCU-236799 正在后台处理中,2025-09-01 15:02:53
VCU-223924,成功,0,分析任务已启动，Issue: VCU-223924 正在后台处理中,2025-07-03 10:53:10
VCU-215611,成功,0,分析任务已启动，Issue: VCU-215611 正在后台处理中,2025-07-17 15:34:28
VCU-414127,成功,0,分析任务已启动，Issue: VCU-414127 正在后台处理中,2025-12-29 12:49:57
VCU-414583,成功,0,分析任务已启动，Issue: VCU-414583 正在后台处理中,2025-12-31 14:22:40
VCU-228948,成功,0,分析任务已启动，Issue: VCU-228948 正在后台处理中,2025-08-08 10:37:19
VCU-405912,成功,0,分析任务已启动，Issue: VCU-405912 正在后台处理中,2025-12-11 10:38:41
VCU-505355,成功,0,分析任务已启动，Issue: VCU-505355 正在后台处理中,2026-06-22 08:42:06
VCU-522892,成功,0,分析任务已启动，Issue: VCU-522892 正在后台处理中,2026-07-23 09:43:11
VCU-501180,成功,0,分析任务已启动，Issue: VCU-501180 正在后台处理中,2026-06-12 01:00:32
VCU-212291,成功,0,分析任务已启动，Issue: VCU-212291 正在后台处理中,2025-07-03 15:28:32
VCU-241693,成功,0,分析任务已启动，Issue: VCU-241693 正在后台处理中,2025-10-01 09:39:27
VCU-404087,成功,0,分析任务已启动，Issue: VCU-404087 正在后台处理中,2025-09-13 10:04:33
VCU-238181,成功,0,分析任务已启动，Issue: VCU-238181 正在后台处理中,2025-09-02 13:25:27
VCU-482024,成功,0,分析任务已启动，Issue: VCU-482024 正在后台处理中,2026-04-28 12:49:06
VCU-243558,成功,0,分析任务已启动，Issue: VCU-243558 正在后台处理中,2025-11-23 16:20:31
VCU-221158,成功,0,分析任务已启动，Issue: VCU-221158 正在后台处理中,2025-07-15 12:56:48
VCU-483719,成功,0,分析任务已启动，Issue: VCU-483719 正在后台处理中,2026-05-01 14:20:36
VCU-245009,成功,0,分析任务已启动，Issue: VCU-245009 正在后台处理中,2025-11-05 13:06:06
VCU-416202,成功,0,分析任务已启动，Issue: VCU-416202 正在后台处理中,2026-01-29 13:20:19
VCU-410498,成功,0,分析任务已启动，Issue: VCU-410498 正在后台处理中,2025-12-15 16:38:20
VCU-239755,成功,0,分析任务已启动，Issue: VCU-239755 正在后台处理中,2025-10-20 19:00:25
VCU-197945,成功,0,分析任务已启动，Issue: VCU-197945 正在后台处理中,2025-04-29 12:43:52
VCU-229376,成功,0,分析任务已启动，Issue: VCU-229376 正在后台处理中,2025-08-12 10:39:58
VCU-422135,成功,0,分析任务已启动，Issue: VCU-422135 正在后台处理中,2026-02-02 17:04:48
VCU-198524,成功,0,分析任务已启动，Issue: VCU-198524 正在后台处理中,2025-04-24 13:56:19
VCU-529717,成功,0,分析任务已启动，Issue: VCU-529717 正在后台处理中,2026-08-07 08:37:46
VCU-423333,成功,0,分析任务已启动，Issue: VCU-423333 正在后台处理中,2026-02-01 03:50:26
VCU-410502,成功,0,分析任务已启动，Issue: VCU-410502 正在后台处理中,2025-12-26 14:53:43
VCU-414550,成功,0,分析任务已启动，Issue: VCU-414550 正在后台处理中,2026-12-30 13:12:58
VCU-476450,成功,0,分析任务已启动，Issue: VCU-476450 正在后台处理中,2025-09-17 16:28:40
VCU-496950,成功,0,分析任务已启动，Issue: VCU-496950 正在后台处理中,2026-06-04 14:01:40
VCU-227485,成功,0,分析任务已启动，Issue: VCU-227485 正在后台处理中,2025-08-28 18:28:06
VCU-182377,成功,0,分析任务已启动，Issue: VCU-182377 正在后台处理中,2024-11-25 14:30:15
VCU-214659,成功,0,分析任务已启动，Issue: VCU-214659 正在后台处理中,2025-06-12 15:50:57
VCU-488845,成功,0,分析任务已启动，Issue: VCU-488845 正在后台处理中,2026-05-16 10:17:07
VCU-204010,成功,0,分析任务已启动，Issue: VCU-204010 正在后台处理中,2025-05-30 11:31:40
VCU-235187,成功,0,分析任务已启动，Issue: VCU-235187 正在后台处理中,2025-09-12 16:56:30
VCU-421710,成功,0,分析任务已启动，Issue: VCU-421710 正在后台处理中,2026-01-26 09:52:07
VCU-217946,成功,0,分析任务已启动，Issue: VCU-217946 正在后台处理中,2025-07-17 21:14:43
VCU-246341,成功,0,分析任务已启动，Issue: VCU-246341 正在后台处理中,2025-11-03 14:17:43
VCU-117441,成功,0,分析任务已启动，Issue: VCU-117441 正在后台处理中,2023-09-30 15:45:07
