jira号,执行结果,报告长度,备注,执行时间
VCU-182182,成功,0,分析任务已启动，Issue: VCU-182182 正在后台处理中,2024-12-06 13:57:54
VCU-221706,成功,0,分析任务已启动，Issue: VCU-221706 正在后台处理中,2025-07-17 16:34:21
VCU-485297,成功,0,分析任务已启动，Issue: VCU-485297 正在后台处理中,2026-05-26 14:21:44
VCU-421837,成功,0,分析任务已启动，Issue: VCU-421837 正在后台处理中,2026-01-12 14:35:22
VCU-210101,成功,0,分析任务已启动，Issue: VCU-210101 正在后台处理中,2025-06-25 13:12:10
VCU-512197,成功,0,分析任务已启动，Issue: VCU-512197 正在后台处理中,2026-06-29 16:50:59
VCU-221512,成功,0,分析任务已启动，Issue: VCU-221512 正在后台处理中,2025-07-15 13:56:08
VCU-458223,成功,0,分析任务已启动，Issue: VCU-458223 正在后台处理中,2026-03-25 23:36:18
VCU-205167,成功,0,分析任务已启动，Issue: VCU-205167 正在后台处理中,2025-05-19 13:55:39
VCU-201195,成功,0,分析任务已启动，Issue: VCU-201195 正在后台处理中,2025-04-01 18:14:00
VCU-74986,成功,0,分析任务已启动，Issue: VCU-74986 正在后台处理中,2022-11-11 05:37:51
VCU-518152,成功,0,分析任务已启动，Issue: VCU-518152 正在后台处理中,2026-07-10 15:54:24
VCU-534637,成功,0,分析任务已启动，Issue: VCU-534637 正在后台处理中,2026-08-19 08:46:20
VCU-224697,成功,0,分析任务已启动，Issue: VCU-224697 正在后台处理中,2025-07-14 19:02:53
VCU-230023,成功,0,分析任务已启动，Issue: VCU-230023 正在后台处理中,2025-08-22 15:57:14
VCU-518913,成功,0,分析任务已启动，Issue: VCU-518913 正在后台处理中,2026-07-03 01:23:46
VCU-421635,成功,0,分析任务已启动，Issue: VCU-421635 正在后台处理中,2026-01-10 12:17:46
VCU-227855,成功,0,分析任务已启动，Issue: VCU-227855 正在后台处理中,2025-08-12 17:05:21
VCU-194824,成功,0,分析任务已启动，Issue: VCU-194824 正在后台处理中,2025-03-20 15:45:19
VCU-210236,成功,0,分析任务已启动，Issue: VCU-210236 正在后台处理中,2025-06-18 20:08:11
