jira号,执行结果,报告长度,备注,触发时间,执行时间
VCU-539760,成功,0,分析任务已启动，Issue: VCU-539760 正在后台处理中,2026-09-01 14:06:35,2026-09-14 14:58:53
VCU-536645,成功,0,分析任务已启动，Issue: VCU-536645 正在后台处理中,2026-08-25 14:11:46,2026-09-14 14:58:53
VCU-536539,成功,0,分析任务已启动，Issue: VCU-536539 正在后台处理中,2026-08-25 10:33:31,2026-09-14 14:58:53
VCU-537307,成功,0,分析任务已启动，Issue: VCU-537307 正在后台处理中,2026-08-26 15:05:14,2026-09-14 14:58:53
VCU-542139,成功,0,分析任务已启动，Issue: VCU-542139 正在后台处理中,2026-09-04 17:10:24,2026-09-14 14:58:53
VCU-540432,成功,0,分析任务已启动，Issue: VCU-540432 正在后台处理中,2026-09-02 10:27:34,2026-09-14 14:58:53
VCU-541927,成功,0,分析任务已启动，Issue: VCU-541927 正在后台处理中,2026-09-04 14:45:38,2026-09-14 14:58:53
VCU-544156,成功,0,分析任务已启动，Issue: VCU-544156 正在后台处理中,2026-09-09 13:31:55,2026-09-14 14:58:53
VCU-536888,成功,0,分析任务已启动，Issue: VCU-536888 正在后台处理中,2026-08-25 17:07:28,2026-09-14 14:58:53
VCU-536641,成功,0,分析任务已启动，Issue: VCU-536641 正在后台处理中,2026-08-25 14:07:27,2026-09-14 14:58:53
VCU-541191,成功,0,分析任务已启动，Issue: VCU-541191 正在后台处理中,2026-09-03 14:33:45,2026-09-14 14:58:53
VCU-536673,成功,0,分析任务已启动，Issue: VCU-536673 正在后台处理中,2026-08-25 14:29:13,2026-09-14 14:58:53
VCU-537110,成功,0,分析任务已启动，Issue: VCU-537110 正在后台处理中,2026-08-26 10:41:54,2026-09-14 14:58:53
VCU-540462,成功,0,分析任务已启动，Issue: VCU-540462 正在后台处理中,2026-09-02 11:00:34,2026-09-14 14:58:53
VCU-540463,成功,0,分析任务已启动，Issue: VCU-540463 正在后台处理中,2026-09-02 11:00:50,2026-09-14 14:58:53
VCU-540485,成功,0,分析任务已启动，Issue: VCU-540485 正在后台处理中,2026-09-02 11:30:45,2026-09-14 14:58:53
VCU-537801,成功,0,分析任务已启动，Issue: VCU-537801 正在后台处理中,2026-08-27 13:39:05,2026-09-14 14:58:53
VCU-537120,成功,0,分析任务已启动，Issue: VCU-537120 正在后台处理中,2026-08-26 10:44:13,2026-09-14 14:58:53
VCU-541465,成功,0,分析任务已启动，Issue: VCU-541465 正在后台处理中,2026-09-03 17:51:51,2026-09-14 14:58:53
VCU-536867,成功,0,分析任务已启动，Issue: VCU-536867 正在后台处理中,2026-08-25 16:53:54,2026-09-14 14:58:53
VCU-536628,成功,0,分析任务已启动，Issue: VCU-536628 正在后台处理中,2026-08-25 13:53:20,2026-09-14 14:58:53
VCU-541205,成功,0,分析任务已启动，Issue: VCU-541205 正在后台处理中,2026-09-03 14:44:17,2026-09-14 14:58:53
VCU-539868,成功,0,分析任务已启动，Issue: VCU-539868 正在后台处理中,2026-09-01 15:44:34,2026-09-14 14:58:53
VCU-536517,成功,0,分析任务已启动，Issue: VCU-536517 正在后台处理中,2026-08-25 10:00:01,2026-09-14 14:58:53
VCU-543449,成功,0,分析任务已启动，Issue: VCU-543449 正在后台处理中,2026-09-08 10:52:19,2026-09-14 14:58:53
VCU-539768,成功,0,分析任务已启动，Issue: VCU-539768 正在后台处理中,2026-09-01 14:11:30,2026-09-14 14:58:53
VCU-540918,成功,0,分析任务已启动，Issue: VCU-540918 正在后台处理中,2026-09-02 17:43:10,2026-09-14 14:58:53
VCU-541596,成功,0,分析任务已启动，Issue: VCU-541596 正在后台处理中,2026-09-04 10:15:06,2026-09-14 14:58:53
VCU-544267,成功,0,分析任务已启动，Issue: VCU-544267 正在后台处理中,2026-09-09 15:22:24,2026-09-14 14:58:53
VCU-537652,成功,0,分析任务已启动，Issue: VCU-537652 正在后台处理中,2026-08-27 10:18:25,2026-09-14 14:58:53
VCU-541455,成功,0,分析任务已启动，Issue: VCU-541455 正在后台处理中,2026-09-03 17:44:47,2026-09-14 14:58:53
