jira号,执行结果,报告长度,备注,执行时间
VCU-230777,成功,0,分析任务已启动，Issue: VCU-230777 正在后台处理中,2025-07-31 15:55:28
VCU-196393,成功,0,分析任务已启动，Issue: VCU-196393 正在后台处理中,2025-04-22 18:11:33
VCU-229457,成功,0,分析任务已启动，Issue: VCU-229457 正在后台处理中,2025-08-11 13:29:51
VCU-205537,成功,0,分析任务已启动，Issue: VCU-205537 正在后台处理中,2025-05-19 15:13:14
VCU-445077,成功,0,分析任务已启动，Issue: VCU-445077 正在后台处理中,2025-08-11 16:18:25
VCU-217851,成功,0,分析任务已启动，Issue: VCU-217851 正在后台处理中,2025-07-21 16:37:31
VCU-523002,成功,0,分析任务已启动，Issue: VCU-523002 正在后台处理中,2026-07-23 10:18:17
VCU-421970,成功,0,分析任务已启动，Issue: VCU-421970 正在后台处理中,2026-01-04 14:07:25
VCU-418619,成功,0,分析任务已启动，Issue: VCU-418619 正在后台处理中,2026-01-07 15:27:58
VCU-199070,成功,0,分析任务已启动，Issue: VCU-199070 正在后台处理中,2025-04-11 19:20:52
VCU-534716,成功,0,分析任务已启动，Issue: VCU-534716 正在后台处理中,2026-08-19 10:04:28
VCU-421789,成功,0,分析任务已启动，Issue: VCU-421789 正在后台处理中,2026-01-18 15:05:05
VCU-420093,成功,0,分析任务已启动，Issue: VCU-420093 正在后台处理中,2026-01-08 16:58:22
VCU-515011,成功,0,分析任务已启动，Issue: VCU-515011 正在后台处理中,2026-06-28 13:48:48
VCU-421581,成功,0,分析任务已启动，Issue: VCU-421581 正在后台处理中,2026-01-08 18:00:14
VCU-416768,成功,0,分析任务已启动，Issue: VCU-416768 正在后台处理中,2026-01-26 13:11:13
VCU-415525,成功,0,分析任务已启动，Issue: VCU-415525 正在后台处理中,2026-01-30 14:02:23
VCU-193643,成功,0,分析任务已启动，Issue: VCU-193643 正在后台处理中,2025-03-11 05:34:11
VCU-498169,成功,0,分析任务已启动，Issue: VCU-498169 正在后台处理中,2026-06-04 01:19:28
VCU-232102,成功,0,分析任务已启动，Issue: VCU-232102 正在后台处理中,2025-08-12 13:49:25
VCU-446557,成功,0,分析任务已启动，Issue: VCU-446557 正在后台处理中,2026-03-18 13:13:15
VCU-235522,成功,0,分析任务已启动，Issue: VCU-235522 正在后台处理中,2025-09-23 00:01:27
VCU-404091,成功,0,分析任务已启动，Issue: VCU-404091 正在后台处理中,2025-09-23 09:57:04
VCU-418496,成功,0,分析任务已启动，Issue: VCU-418496 正在后台处理中,2026-01-07 16:54:11
VCU-195857,成功,0,分析任务已启动，Issue: VCU-195857 正在后台处理中,2025-03-03 18:44:48
VCU-418788,成功,0,分析任务已启动，Issue: VCU-418788 正在后台处理中,2026-01-08 17:03:34
VCU-514542,成功,0,分析任务已启动，Issue: VCU-514542 正在后台处理中,2026-07-02 14:52:06
VCU-405338,成功,0,分析任务已启动，Issue: VCU-405338 正在后台处理中,2025-12-17 10:15:40
VCU-471552,成功,0,分析任务已启动，Issue: VCU-471552 正在后台处理中,2026-04-20 15:03:30
VCU-421444,成功,0,分析任务已启动，Issue: VCU-421444 正在后台处理中,2026-01-17 13:47:18
VCU-440216,成功,0,分析任务已启动，Issue: VCU-440216 正在后台处理中,2025-09-03 14:01:47
VCU-230189,成功,0,分析任务已启动，Issue: VCU-230189 正在后台处理中,2025-08-27 15:35:58
VCU-228777,成功,0,分析任务已启动，Issue: VCU-228777 正在后台处理中,2025-08-11 11:33:38
VCU-420881,成功,0,分析任务已启动，Issue: VCU-420881 正在后台处理中,2026-01-05 10:13:57
VCU-530446,成功,0,分析任务已启动，Issue: VCU-530446 正在后台处理中,2026-08-19 18:53:00
VCU-242699,成功,0,分析任务已启动，Issue: VCU-242699 正在后台处理中,2025-11-25 15:26:53
VCU-227565,成功,0,分析任务已启动，Issue: VCU-227565 正在后台处理中,2025-08-10 22:20:15
VCU-420204,成功,0,分析任务已启动，Issue: VCU-420204 正在后台处理中,2026-01-08 17:51:56
VCU-489032,成功,0,分析任务已启动，Issue: VCU-489032 正在后台处理中,2026-05-18 15:45:52
VCU-421857,成功,0,分析任务已启动，Issue: VCU-421857 正在后台处理中,2026-01-08 17:57:04
VCU-489815,成功,0,分析任务已启动，Issue: VCU-489815 正在后台处理中,2026-07-07 16:41:24
VCU-486487,成功,0,分析任务已启动，Issue: VCU-486487 正在后台处理中,2026-05-06 09:07:18
VCU-418473,成功,0,分析任务已启动，Issue: VCU-418473 正在后台处理中,2026-01-07 10:03:36
VCU-227732,成功,0,分析任务已启动，Issue: VCU-227732 正在后台处理中,2025-08-14 11:38:04
VCU-471542,成功,0,分析任务已启动，Issue: VCU-471542 正在后台处理中,2026-04-16 16:53:31
VCU-419487,成功,0,分析任务已启动，Issue: VCU-419487 正在后台处理中,2026-01-17 13:07:40
VCU-420885,成功,0,分析任务已启动，Issue: VCU-420885 正在后台处理中,2026-01-05 10:43:24
VCU-437309,成功,0,分析任务已启动，Issue: VCU-437309 正在后台处理中,2026-03-18 17:21:16
VCU-418082,成功,0,分析任务已启动，Issue: VCU-418082 正在后台处理中,2026-01-16 13:53:10
VCU-419587,成功,0,分析任务已启动，Issue: VCU-419587 正在后台处理中,2026-01-04 13:56:47
