jira号,执行结果,报告长度,备注,执行时间,分析执行时间
VCU-232089,成功,0,分析任务已启动，Issue: VCU-232089 正在后台处理中,2025-08-06 19:32:17,2026-08-28 17:57:27
VCU-417890,成功,0,分析任务已启动，Issue: VCU-417890 正在后台处理中,2026-01-09 15:02:18,2026-08-28 17:57:27
VCU-419193,成功,0,分析任务已启动，Issue: VCU-419193 正在后台处理中,2026-01-17 14:39:10,2026-08-28 17:57:27
VCU-514467,成功,0,分析任务已启动，Issue: VCU-514467 正在后台处理中,2026-06-30 15:29:59,2026-08-28 17:57:27
VCU-207543,成功,0,分析任务已启动，Issue: VCU-207543 正在后台处理中,2025-07-01 13:28:59,2026-08-28 17:57:27
VCU-420976,成功,0,分析任务已启动，Issue: VCU-420976 正在后台处理中,2026-01-05 13:08:51,2026-08-28 17:57:27
VCU-228000,成功,0,分析任务已启动，Issue: VCU-228000 正在后台处理中,2025-08-12 15:53:58,2026-08-28 17:57:27
VCU-447187,成功,0,分析任务已启动，Issue: VCU-447187 正在后台处理中,2026-03-19 14:44:47,2026-08-28 17:57:27
VCU-222723,成功,0,分析任务已启动，Issue: VCU-222723 正在后台处理中,2025-07-08 15:54:10,2026-08-28 17:57:27
VCU-418485,成功,0,分析任务已启动，Issue: VCU-418485 正在后台处理中,2026-01-08 18:01:55,2026-08-28 17:57:27
VCU-201492,成功,0,分析任务已启动，Issue: VCU-201492 正在后台处理中,2025-04-09 19:58:17,2026-08-28 17:57:27
VCU-200233,成功,0,分析任务已启动，Issue: VCU-200233 正在后台处理中,2025-04-01 20:10:13,2026-08-28 17:57:27
VCU-221592,成功,0,分析任务已启动，Issue: VCU-221592 正在后台处理中,2025-07-17 22:01:53,2026-08-28 17:57:27
VCU-162809,成功,0,分析任务已启动，Issue: VCU-162809 正在后台处理中,2024-07-09 18:39:18,2026-08-28 17:57:27
VCU-416376,成功,0,分析任务已启动，Issue: VCU-416376 正在后台处理中,2026-01-08 17:31:15,2026-08-28 17:57:27
VCU-215255,成功,0,分析任务已启动，Issue: VCU-215255 正在后台处理中,2025-07-29 01:13:55,2026-08-28 17:57:27
VCU-162883,成功,0,分析任务已启动，Issue: VCU-162883 正在后台处理中,2024-07-10 13:46:30,2026-08-28 17:57:27
VCU-225187,成功,0,分析任务已启动，Issue: VCU-225187 正在后台处理中,2025-07-07 14:49:09,2026-08-28 17:57:27
VCU-156816,成功,0,分析任务已启动，Issue: VCU-156816 正在后台处理中,2024-05-08 12:50:56,2026-08-28 17:57:27
VCU-416873,成功,0,分析任务已启动，Issue: VCU-416873 正在后台处理中,2026-01-07 17:51:52,2026-08-28 17:57:27
VCU-421787,失败,0,timed out,2026-08-28 17:56:26,2026-08-28 17:57:27
VCU-193520,失败,0,timed out,2026-08-28 17:56:26,2026-08-28 17:57:27
VCU-419580,失败,0,timed out,2026-08-28 17:56:27,2026-08-28 17:57:27
VCU-418569,失败,0,timed out,2026-08-28 17:56:29,2026-08-28 17:57:27
VCU-416575,失败,0,timed out,2026-08-28 17:56:30,2026-08-28 17:57:27
VCU-449447,失败,0,timed out,2026-08-28 17:56:35,2026-08-28 17:57:27
VCU-172174,失败,0,timed out,2026-08-28 17:56:35,2026-08-28 17:57:27
VCU-537758,失败,0,timed out,2026-08-28 17:56:36,2026-08-28 17:57:27
VCU-225230,失败,0,timed out,2026-08-28 17:56:36,2026-08-28 17:57:27
VCU-418921,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-238243,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-200273,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-523000,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-419628,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-206586,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-197199,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-244337,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-408831,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-468531,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-230317,失败,0,timed out,2026-08-28 17:56:37,2026-08-28 17:57:27
VCU-418865,失败,0,timed out,2026-08-28 17:57:18,2026-08-28 17:57:27
VCU-420865,失败,0,timed out,2026-08-28 17:57:18,2026-08-28 17:57:27
VCU-436754,失败,0,timed out,2026-08-28 17:57:18,2026-08-28 17:57:27
VCU-231467,失败,0,timed out,2026-08-28 17:57:20,2026-08-28 17:57:27
VCU-233963,失败,0,timed out,2026-08-28 17:57:20,2026-08-28 17:57:27
VCU-230196,失败,0,timed out,2026-08-28 17:57:26,2026-08-28 17:57:27
VCU-205259,失败,0,timed out,2026-08-28 17:57:26,2026-08-28 17:57:27
VCU-218497,失败,0,timed out,2026-08-28 17:57:27,2026-08-28 17:57:27
VCU-420588,失败,0,timed out,2026-08-28 17:57:27,2026-08-28 17:57:27
VCU-523007,失败,0,timed out,2026-08-28 17:57:27,2026-08-28 17:57:27
