jira号,执行结果,报告长度,备注,执行时间
VCU-162205,成功,0,分析任务已启动，Issue: VCU-162205 正在后台处理中,2024-06-18 15:10:20
VCU-404442,成功,0,分析任务已启动，Issue: VCU-404442 正在后台处理中,2025-09-26 05:30:12
VCU-194932,成功,0,分析任务已启动，Issue: VCU-194932 正在后台处理中,2025-03-11 20:50:19
VCU-213970,成功,0,分析任务已启动，Issue: VCU-213970 正在后台处理中,2023-12-13 18:39:17
VCU-414948,成功,0,分析任务已启动，Issue: VCU-414948 正在后台处理中,2026-02-01 16:11:43
VCU-445371,成功,0,分析任务已启动，Issue: VCU-445371 正在后台处理中,2026-01-08 17:08:16
VCU-197304,成功,0,分析任务已启动，Issue: VCU-197304 正在后台处理中,2025-04-15 19:07:08
VCU-231637,成功,0,分析任务已启动，Issue: VCU-231637 正在后台处理中,2025-08-07 14:55:17
VCU-415434,成功,0,分析任务已启动，Issue: VCU-415434 正在后台处理中,2026-01-26 11:00:18
VCU-418775,成功,0,分析任务已启动，Issue: VCU-418775 正在后台处理中,2026-01-12 17:22:04
VCU-423625,成功,0,分析任务已启动，Issue: VCU-423625 正在后台处理中,2026-02-07 14:44:43
VCU-512909,成功,0,分析任务已启动，Issue: VCU-512909 正在后台处理中,2026-07-10 15:16:56
VCU-424269,成功,0,分析任务已启动，Issue: VCU-424269 正在后台处理中,2026-02-03 12:38:57
VCU-155057,成功,0,分析任务已启动，Issue: VCU-155057 正在后台处理中,2024-05-14 15:23:07
VCU-419947,成功,0,分析任务已启动，Issue: VCU-419947 正在后台处理中,2026-01-08 17:21:52
VCU-196129,成功,0,分析任务已启动，Issue: VCU-196129 正在后台处理中,2025-04-22 13:10:20
VCU-420411,成功,0,分析任务已启动，Issue: VCU-420411 正在后台处理中,2026-01-21 13:47:29
VCU-245299,成功,0,分析任务已启动，Issue: VCU-245299 正在后台处理中,2025-11-07 13:19:23
VCU-55984,成功,0,分析任务已启动，Issue: VCU-55984 正在后台处理中,2022-02-21 14:46:08
VCU-416446,成功,0,分析任务已启动，Issue: VCU-416446 正在后台处理中,2026-01-07 16:43:00
VCU-478178,成功,0,分析任务已启动，Issue: VCU-478178 正在后台处理中,2026-04-20 01:59:45
VCU-197361,成功,0,分析任务已启动，Issue: VCU-197361 正在后台处理中,2025-06-05 16:45:15
VCU-449186,成功,0,分析任务已启动，Issue: VCU-449186 正在后台处理中,2026-01-16 13:41:58
VCU-218317,成功,0,分析任务已启动，Issue: VCU-218317 正在后台处理中,2025-07-26 13:22:38
VCU-408488,成功,0,分析任务已启动，Issue: VCU-408488 正在后台处理中,2025-12-18 16:10:15
VCU-489274,成功,0,分析任务已启动，Issue: VCU-489274 正在后台处理中,2026-05-16 16:05:33
VCU-445324,成功,0,分析任务已启动，Issue: VCU-445324 正在后台处理中,2026-01-08 16:42:55
VCU-425029,成功,0,分析任务已启动，Issue: VCU-425029 正在后台处理中,2026-03-04 13:06:05
VCU-195517,成功,0,分析任务已启动，Issue: VCU-195517 正在后台处理中,2025-03-07 19:02:22
VCU-494075,成功,0,分析任务已启动，Issue: VCU-494075 正在后台处理中,2026-05-22 22:40:29
VCU-218801,成功,0,分析任务已启动，Issue: VCU-218801 正在后台处理中,2025-07-18 11:01:19
VCU-197348,成功,0,分析任务已启动，Issue: VCU-197348 正在后台处理中,2025-05-07 14:44:40
VCU-50679,成功,0,分析任务已启动，Issue: VCU-50679 正在后台处理中,2022-04-12 02:32:06
VCU-421818,成功,0,分析任务已启动，Issue: VCU-421818 正在后台处理中,2026-01-04 13:30:16
VCU-236039,成功,0,分析任务已启动，Issue: VCU-236039 正在后台处理中,2025-09-23 00:26:08
VCU-245709,成功,0,分析任务已启动，Issue: VCU-245709 正在后台处理中,2025-11-08 18:54:42
VCU-225563,成功,0,分析任务已启动，Issue: VCU-225563 正在后台处理中,2025-07-08 16:58:06
VCU-417002,成功,0,分析任务已启动，Issue: VCU-417002 正在后台处理中,2026-01-08 19:32:57
VCU-523001,失败,0,timed out,2026-08-28 17:54:50
VCU-416643,失败,0,timed out,2026-08-28 17:54:54
VCU-418020,失败,0,timed out,2026-08-28 17:54:55
VCU-76192,失败,0,timed out,2026-08-28 17:54:55
VCU-104794,失败,0,timed out,2026-08-28 17:54:55
VCU-156176,失败,0,timed out,2026-08-28 17:54:55
VCU-417944,失败,0,timed out,2026-08-28 17:54:55
VCU-419146,失败,0,timed out,2026-08-28 17:54:55
VCU-423093,失败,0,timed out,2026-08-28 17:54:55
VCU-489130,失败,0,timed out,2026-08-28 17:54:55
VCU-206265,失败,0,timed out,2026-08-28 17:54:55
VCU-417933,失败,0,timed out,2026-08-28 17:54:55
