jira号,执行结果,报告长度,备注,执行时间,分析执行时间
VCU-416141,成功,0,分析任务已启动，Issue: VCU-416141 正在后台处理中,2026-03-19 15:55:00,2026-09-08 18:02:53
VCU-217923,成功,0,分析任务已启动，Issue: VCU-217923 正在后台处理中,2025-07-22 16:45:00,2026-09-08 18:02:53
VCU-434726,成功,0,分析任务已启动，Issue: VCU-434726 正在后台处理中,2026-01-29 12:48:12,2026-09-08 18:02:53
VCU-234452,成功,0,分析任务已启动，Issue: VCU-234452 正在后台处理中,2025-09-12 16:18:26,2026-09-08 18:02:53
VCU-477879,成功,0,分析任务已启动，Issue: VCU-477879 正在后台处理中,2026-04-14 16:50:45,2026-09-08 18:02:53
VCU-217936,成功,0,分析任务已启动，Issue: VCU-217936 正在后台处理中,2025-07-19 17:28:12,2026-09-08 18:02:53
VCU-488461,成功,0,分析任务已启动，Issue: VCU-488461 正在后台处理中,2025-05-14 13:40:00,2026-09-08 18:02:53
VCU-215292,成功,0,分析任务已启动，Issue: VCU-215292 正在后台处理中,2025-07-28 17:08:04,2026-09-08 18:02:53
VCU-442370,成功,0,分析任务已启动，Issue: VCU-442370 正在后台处理中,2025-01-04 16:20:07,2026-09-08 18:02:53
VCU-243400,成功,0,分析任务已启动，Issue: VCU-243400 正在后台处理中,2025-11-19 17:07:00,2026-09-08 18:02:53
VCU-488314,成功,0,分析任务已启动，Issue: VCU-488314 正在后台处理中,2026-05-15 16:01:17,2026-09-08 18:02:53
VCU-216710,成功,0,分析任务已启动，Issue: VCU-216710 正在后台处理中,2025-07-20 17:27:31,2026-09-08 18:02:53
VCU-210644,成功,0,分析任务已启动，Issue: VCU-210644 正在后台处理中,2025-06-24 11:39:11,2026-09-08 18:02:53
VCU-226664,成功,0,分析任务已启动，Issue: VCU-226664 正在后台处理中,2025-09-21 17:17:05,2026-09-08 18:02:53
VCU-527963,成功,0,分析任务已启动，Issue: VCU-527963 正在后台处理中,2026-08-04 11:15:44,2026-09-08 18:02:53
VCU-230436,成功,0,分析任务已启动，Issue: VCU-230436 正在后台处理中,2025-08-12 15:38:42,2026-09-08 18:02:53
VCU-239806,成功,0,分析任务已启动，Issue: VCU-239806 正在后台处理中,2025-10-20 14:36:00,2026-09-08 18:02:53
VCU-416266,成功,0,分析任务已启动，Issue: VCU-416266 正在后台处理中,2026-01-09 09:22:58,2026-09-08 18:02:53
VCU-410670,成功,0,分析任务已启动，Issue: VCU-410670 正在后台处理中,2025-12-18 10:55:59,2026-09-08 18:02:53
VCU-495732,成功,0,分析任务已启动，Issue: VCU-495732 正在后台处理中,2026-06-02 16:38:22,2026-09-08 18:02:53
VCU-227233,成功,0,分析任务已启动，Issue: VCU-227233 正在后台处理中,2025-08-20 11:37:47,2026-09-08 18:02:53
VCU-422901,成功,0,分析任务已启动，Issue: VCU-422901 正在后台处理中,2026-02-07 10:42:22,2026-09-08 18:02:53
VCU-232965,成功,0,分析任务已启动，Issue: VCU-232965 正在后台处理中,2025-09-25 09:53:30,2026-09-08 18:02:53
VCU-239927,成功,0,分析任务已启动，Issue: VCU-239927 正在后台处理中,2025-10-23 15:02:03,2026-09-08 18:02:53
