jira号,执行结果,报告长度,备注,触发时间,执行时间
VCU-540522,失败,0,无触发时间,,2026-09-20 10:30:49
VCU-536780,成功,0,分析任务已启动，Issue: VCU-536780 正在后台处理中,2026-08-25 14:36:33,2026-09-20 10:30:49
