jira号,执行结果,报告长度,备注,触发时间,执行时间
VCU-543410,失败,0,无触发时间,,2026-09-20 11:27:37
VCU-536860,成功,0,分析任务已启动，Issue: VCU-536860 正在后台处理中,2026-08-25 13:09:00,2026-09-20 11:27:37
VCU-536767,成功,0,分析任务已启动，Issue: VCU-536767 正在后台处理中,2026-08-25 15:31:00,2026-09-20 11:27:37
VCU-544469,成功,0,分析任务已启动，Issue: VCU-544469 正在后台处理中,2026-09-14 17:32:00,2026-09-20 11:27:37
VCU-546957,成功,0,分析任务已启动，Issue: VCU-546957 正在后台处理中,2026-09-15 13:41:34,2026-09-20 11:27:37
VCU-546955,成功,0,分析任务已启动，Issue: VCU-546955 正在后台处理中,2026-09-15 13:41:34,2026-09-20 11:27:37
VCU-541387,成功,0,分析任务已启动，Issue: VCU-541387 正在后台处理中,2026-09-03 13:11:40,2026-09-20 11:27:37
VCU-544807,成功,0,分析任务已启动，Issue: VCU-544807 正在后台处理中,2026-09-10 10:03:31,2026-09-20 11:27:37
VCU-544561,成功,0,分析任务已启动，Issue: VCU-544561 正在后台处理中,2026-09-09 10:27:00,2026-09-20 11:27:37
VCU-546941,成功,0,分析任务已启动，Issue: VCU-546941 正在后台处理中,2026-09-15 13:41:08,2026-09-20 11:27:37
VCU-538012,成功,0,分析任务已启动，Issue: VCU-538012 正在后台处理中,2026-08-27 15:48:00,2026-09-20 11:27:37
VCU-545602,成功,0,分析任务已启动，Issue: VCU-545602 正在后台处理中,2026-09-11 15:16:00,2026-09-20 11:27:37
VCU-544908,成功,0,分析任务已启动，Issue: VCU-544908 正在后台处理中,2026-09-10 13:42:35,2026-09-20 11:27:37
VCU-538021,成功,0,分析任务已启动，Issue: VCU-538021 正在后台处理中,2026-08-27 15:49:00,2026-09-20 11:27:37
VCU-536684,成功,0,分析任务已启动，Issue: VCU-536684 正在后台处理中,2026-08-25 14:18:19,2026-09-20 11:27:37
VCU-547352,成功,0,分析任务已启动，Issue: VCU-547352 正在后台处理中,2026-09-14 21:51:00,2026-09-20 11:27:37
VCU-537263,成功,0,分析任务已启动，Issue: VCU-537263 正在后台处理中,2026-08-24 19:58:00,2026-09-20 11:27:37
VCU-544944,成功,0,分析任务已启动，Issue: VCU-544944 正在后台处理中,2026-09-10 14:19:55,2026-09-20 11:27:37
VCU-546354,成功,0,分析任务已启动，Issue: VCU-546354 正在后台处理中,2026-09-11 15:19:19,2026-09-20 11:27:37
VCU-537135,成功,0,分析任务已启动，Issue: VCU-537135 正在后台处理中,2026-08-26 10:49:00,2026-09-20 11:27:37
