jira号,执行结果,报告长度,备注,执行时间
VCU-424046,成功,0,分析任务已启动，Issue: VCU-424046 正在后台处理中,2026-02-08 20:14:27
VCU-414782,成功,0,分析任务已启动，Issue: VCU-414782 正在后台处理中,2025-12-06 23:56:09
VCU-208103,成功,0,分析任务已启动，Issue: VCU-208103 正在后台处理中,2025-06-10 17:06:28
VCU-530842,成功,0,分析任务已启动，Issue: VCU-530842 正在后台处理中,2026-08-11 10:53:07
VCU-182755,成功,0,分析任务已启动，Issue: VCU-182755 正在后台处理中,2024-11-26 15:05:23
VCU-417342,成功,0,分析任务已启动，Issue: VCU-417342 正在后台处理中,2026-01-25 11:03:53
VCU-517531,成功,0,分析任务已启动，Issue: VCU-517531 正在后台处理中,2026-07-09 15:51:00
VCU-222312,成功,0,分析任务已启动，Issue: VCU-222312 正在后台处理中,2025-07-07 15:29:44
VCU-217020,成功,0,分析任务已启动，Issue: VCU-217020 正在后台处理中,2025-07-25 10:58:47
VCU-414658,成功,0,分析任务已启动，Issue: VCU-414658 正在后台处理中,2025-12-29 17:37:58
VCU-438045,成功,0,分析任务已启动，Issue: VCU-438045 正在后台处理中,2026-02-09 16:25:17
VCU-231796,成功,0,分析任务已启动，Issue: VCU-231796 正在后台处理中,2025-08-08 13:24:44
VCU-410271,成功,0,分析任务已启动，Issue: VCU-410271 正在后台处理中,2025-12-18 13:28:36
VCU-237822,成功,0,分析任务已启动，Issue: VCU-237822 正在后台处理中,2025-09-03 14:27:02
VCU-197206,成功,0,分析任务已启动，Issue: VCU-197206 正在后台处理中,2025-04-23 21:25:39
VCU-189494,成功,0,分析任务已启动，Issue: VCU-189494 正在后台处理中,2025-02-27 10:59:12
VCU-483312,成功,0,分析任务已启动，Issue: VCU-483312 正在后台处理中,2026-04-30 14:23:25
VCU-414557,成功,0,分析任务已启动，Issue: VCU-414557 正在后台处理中,2025-12-31 16:11:24
VCU-470109,成功,0,分析任务已启动，Issue: VCU-470109 正在后台处理中,2026-04-13 15:58:16
VCU-240554,成功,0,分析任务已启动，Issue: VCU-240554 正在后台处理中,2025-10-16 15:42:17
VCU-488796,成功,0,分析任务已启动，Issue: VCU-488796 正在后台处理中,2026-05-16 16:02:01
VCU-217471,成功,0,分析任务已启动，Issue: VCU-217471 正在后台处理中,2025-07-30 15:26:13
VCU-203279,成功,0,分析任务已启动，Issue: VCU-203279 正在后台处理中,2025-05-23 13:03:54
VCU-237954,成功,0,分析任务已启动，Issue: VCU-237954 正在后台处理中,2025-09-01 15:04:57
VCU-228106,成功,0,分析任务已启动，Issue: VCU-228106 正在后台处理中,2025-08-19 14:34:56
VCU-222096,成功,0,分析任务已启动，Issue: VCU-222096 正在后台处理中,2025-07-02 20:10:22
VCU-226707,成功,0,分析任务已启动，Issue: VCU-226707 正在后台处理中,2025-08-22 13:17:31
VCU-438719,成功,0,分析任务已启动，Issue: VCU-438719 正在后台处理中,2025-12-23 10:49:39
VCU-200460,成功,0,分析任务已启动，Issue: VCU-200460 正在后台处理中,2025-04-11 15:15:30
VCU-486044,成功,0,分析任务已启动，Issue: VCU-486044 正在后台处理中,2026-05-11 15:10:36
VCU-512195,成功,0,分析任务已启动，Issue: VCU-512195 正在后台处理中,2026-06-29 16:54:17
VCU-419784,成功,0,分析任务已启动，Issue: VCU-419784 正在后台处理中,2026-01-20 12:50:52
VCU-439612,成功,0,分析任务已启动，Issue: VCU-439612 正在后台处理中,2026-02-25 15:07:23
VCU-405929,成功,0,分析任务已启动，Issue: VCU-405929 正在后台处理中,2025-12-23 09:43:58
VCU-409414,成功,0,分析任务已启动，Issue: VCU-409414 正在后台处理中,2025-11-19 12:49:51
VCU-205754,成功,0,分析任务已启动，Issue: VCU-205754 正在后台处理中,2025-05-07 15:32:56
VCU-232022,成功,0,分析任务已启动，Issue: VCU-232022 正在后台处理中,2025-08-02 10:14:04
VCU-216526,成功,0,分析任务已启动，Issue: VCU-216526 正在后台处理中,2025-07-22 12:20:42
VCU-536278,成功,0,分析任务已启动，Issue: VCU-536278 正在后台处理中,2026-08-24 13:38:05
VCU-503085,成功,0,分析任务已启动，Issue: VCU-503085 正在后台处理中,2026-06-17 12:52:25
VCU-200055,成功,0,分析任务已启动，Issue: VCU-200055 正在后台处理中,2025-04-02 15:49:57
VCU-247039,成功,0,分析任务已启动，Issue: VCU-247039 正在后台处理中,2025-11-29 15:32:42
VCU-406904,成功,0,分析任务已启动，Issue: VCU-406904 正在后台处理中,2025-11-18 18:04:35
VCU-535944,成功,0,分析任务已启动，Issue: VCU-535944 正在后台处理中,2026-08-22 14:02:42
VCU-405852,成功,0,分析任务已启动，Issue: VCU-405852 正在后台处理中,2025-12-02 15:01:05
VCU-467082,成功,0,分析任务已启动，Issue: VCU-467082 正在后台处理中,2026-04-06 14:16:54
VCU-470836,成功,0,分析任务已启动，Issue: VCU-470836 正在后台处理中,2026-04-10 04:22:56
VCU-201971,成功,0,分析任务已启动，Issue: VCU-201971 正在后台处理中,2025-05-12 10:44:03
VCU-209718,成功,0,分析任务已启动，Issue: VCU-209718 正在后台处理中,2025-06-24 17:48:35
VCU-200314,成功,0,分析任务已启动，Issue: VCU-200314 正在后台处理中,2025-04-02 13:32:38
